,year,age,sex,race,cause,mort
200,2000,30,1,5,v,0
201,2000,30,2,1,a,14.1646766990563
202,2000,30,2,1,c,13.7116486596409
203,2000,30,2,1,d,11.6881234169185
204,2000,30,2,1,h,5.30042806116074
205,2000,30,2,1,n,54.0764469715572
206,2000,30,2,1,o,20.8996935516993
207,2000,30,2,1,t,65.7645703884758
208,2000,30,2,1,v,0
209,2000,30,2,2,a,23.9718359465525
210,2000,30,2,2,c,18.6923244583237
211,2000,30,2,2,d,8.77540423043441
212,2000,30,2,2,h,17.336774211346
213,2000,30,2,2,n,140.477812436792
214,2000,30,2,2,o,80.4768778205693
215,2000,30,2,2,t,149.253216667226
216,2000,30,2,2,v,0
217,2000,30,2,3,a,12.1537955588615
218,2000,30,2,3,c,10.2949797675062
219,2000,30,2,3,d,4.43256073323185
220,2000,30,2,3,h,3.43165992250208
221,2000,30,2,3,n,47.39980267956
222,2000,30,2,3,o,21.5193674306901
223,2000,30,2,3,t,51.8323634127918
224,2000,30,2,3,v,0
225,2000,30,2,4,a,13.8000272550556
226,2000,30,2,4,c,13.6275269143674
227,2000,30,2,4,d,7.59001499028057
228,2000,30,2,4,h,2.76000545101112
229,2000,30,2,4,n,42.0900831279195
230,2000,30,2,4,o,11.9025235074854
231,2000,30,2,4,t,49.6800981182001
232,2000,30,2,4,v,0
233,2000,30,2,5,a,15.2366471757893
234,2000,30,2,5,c,13.9269353778704
235,2000,30,2,5,d,10.027793384066
236,2000,30,2,5,h,6.57855238954681
237,2000,30,2,5,n,64.5557944974221
238,2000,30,2,5,o,28.8136595542157
239,2000,30,2,5,t,74.5835878814882
240,2000,30,2,5,v,0
241,2000,35,0,1,a,31.2449007467449
242,2000,35,0,1,c,25.7853511263565
243,2000,35,0,1,d,35.1174508501509
244,2000,35,0,1,h,18.9083532194324
245,2000,35,0,1,n,120.272860829775
246,2000,35,0,1,o,44.3342557372415
247,2000,35,0,1,t,155.390311679926
248,2000,35,0,1,v,0
249,2000,35,0,2,a,52.7652310763751
250,2000,35,0,2,c,34.1801818820562
251,2000,35,0,2,d,24.4629532356665
252,2000,35,0,2,h,37.9855301631599
253,2000,35,0,2,n,255.73979028453
254,2000,35,0,2,o,130.808847162939
255,2000,35,0,2,t,280.202743520197
256,2000,35,0,2,v,0
257,2000,35,0,3,a,30.5638542648447
258,2000,35,0,3,c,17.9684759662044
259,2000,35,0,3,d,22.4344272743095
260,2000,35,0,3,h,9.90882946485833
261,2000,35,0,3,n,105.124306963444
262,2000,35,0,3,o,46.6831472675368
263,2000,35,0,3,t,127.558734237754
264,2000,35,0,3,v,0
265,2000,35,0,4,a,12.5882125913912
266,2000,35,0,4,c,10.5132324939091
267,2000,35,0,4,d,9.08380176008814
268,2000,35,0,4,h,5.53328025995217
269,2000,35,0,4,n,42.7445900081305
270,2000,35,0,4,o,14.109864662878
271,2000,35,0,4,t,51.8283917682186
272,2000,35,0,4,v,0
273,2000,35,0,5,a,32.1658479157426
274,2000,35,0,5,c,24.4291451334364
275,2000,35,0,5,d,29.6529598106818
276,2000,35,0,5,h,18.9676842956424
277,2000,35,0,5,n,128.509361744096
278,2000,35,0,5,o,52.9466843992747
279,2000,35,0,5,t,158.162321554778
280,2000,35,0,5,v,0
281,2000,35,1,1,a,48.4254531059449
282,2000,35,1,1,c,24.7053852620096
283,2000,35,1,1,d,55.5545144249529
284,2000,35,1,1,h,28.6611448963372
285,2000,35,1,1,n,160.66469899423
286,2000,35,1,1,o,58.8727157299383
287,2000,35,1,1,t,216.219213419183
288,2000,35,1,1,v,0
289,2000,35,1,2,a,85.2600467008671
290,2000,35,1,2,c,26.8305823090375
291,2000,35,1,2,d,35.5843266698109
292,2000,35,1,2,h,47.4694917775278
293,2000,35,1,2,n,316.487001401299
294,2000,35,1,2,o,156.926880613866
295,2000,35,1,2,t,352.07132807111
296,2000,35,1,2,v,0
297,2000,35,1,3,a,47.2338719944093
298,2000,35,1,3,c,13.7652998383707
299,2000,35,1,3,d,34.4807265559188
300,2000,35,1,3,h,13.3604380784186
301,2000,35,1,3,n,137.113182703771
302,2000,35,1,3,o,62.7535727925724
303,2000,35,1,3,t,171.59390925969
304,2000,35,1,3,v,0
305,2000,35,1,4,a,10.8859507838971
306,2000,35,1,4,c,6.96194526877141
307,2000,35,1,4,d,8.35433432252569
308,2000,35,1,4,h,5.31639456887999
309,2000,35,1,4,n,35.1261784015285
310,2000,35,1,4,o,11.96188777998
311,2000,35,1,4,t,43.4805127240542
312,2000,35,1,4,v,0
313,2000,35,1,5,a,47.6054434109415
314,2000,35,1,5,c,21.0758762772756
315,2000,35,1,5,d,43.7790635358935
316,2000,35,1,5,h,25.7466986075066
317,2000,35,1,5,n,159.40610596694
318,2000,35,1,5,o,64.9780876712167
319,2000,35,1,5,t,203.185169502834
320,2000,35,1,5,v,0
321,2000,35,2,1,a,16.1280520585468
322,2000,35,2,1,c,26.7355930172115
323,2000,35,2,1,d,17.1352584716892
324,2000,35,2,1,h,10.327053096777
325,2000,35,2,1,n,84.7328331866417
326,2000,35,2,1,o,31.5421350141065
327,2000,35,2,1,t,101.868091658331
328,2000,35,2,1,v,0
329,2000,35,2,2,a,23.08022882584
330,2000,35,2,2,c,40.8942645956433
331,2000,35,2,2,d,14.3032403991121
332,2000,35,2,2,h,29.3216428181798
333,2000,35,2,2,n,200.24536558757
334,2000,35,2,2,o,106.949229347906
335,2000,35,2,2,t,214.548605986682
336,2000,35,2,2,v,0
337,2000,35,2,3,a,12.7154461363588
338,2000,35,2,3,c,22.4687712977703
339,2000,35,2,3,d,9.53658460226908
340,2000,35,2,3,h,6.2132293620844
341,2000,35,2,3,n,70.8741628395907
342,2000,35,2,3,o,29.4767160433772
343,2000,35,2,3,t,80.4107474418597
344,2000,35,2,3,v,0
345,2000,35,2,4,a,17.1571070059897
346,2000,35,2,4,c,20.044936898087
347,2000,35,2,4,d,11.0417025286072
348,2000,35,2,4,h,6.11540447738246
349,2000,35,2,4,n,63.1925129329521
350,2000,35,2,4,o,19.875064551493
351,2000,35,2,4,t,74.2342154615593
352,2000,35,2,4,v,0
353,2000,35,2,5,a,16.7071643908351
354,2000,35,2,5,c,27.7865596484369
355,2000,35,2,5,d,15.5093919305538
356,2000,35,2,5,h,12.1802890630074
357,2000,35,2,5,n,97.5744197607075
358,2000,35,2,5,o,40.9004066584282
359,2000,35,2,5,t,113.083811691261
360,2000,35,2,5,v,0
361,2000,40,0,1,a,28.5931628686399
362,2000,40,0,1,c,46.0376981960688
363,2000,40,0,1,d,39.9342154806809
364,2000,40,0,1,h,35.7970764578367
365,2000,40,0,1,n,172.448943164428
366,2000,40,0,1,o,62.0210056418827
367,2000,40,0,1,t,212.383158645109
368,2000,40,0,1,v,0
369,2000,40,0,2,a,51.7997430666647
370,2000,40,0,2,c,73.1498764017288
371,2000,40,0,2,d,36.9998164761891
372,2000,40,0,2,h,75.805365622508
373,2000,40,0,2,n,389.011467582669
374,2000,40,0,2,o,188.256482491768
375,2000,40,0,2,t,426.011284058858
376,2000,40,0,2,v,0
377,2000,40,0,3,a,33.9042296314435
378,2000,40,0,3,c,35.1199191401407
379,2000,40,0,3,d,34.3544850050351
380,2000,40,0,3,h,21.4321557829577
381,2000,40,0,3,n,165.063619958661
382,2000,40,0,3,o,74.6073154041194
383,2000,40,0,3,t,199.418104963696
384,2000,40,0,3,v,0
385,2000,40,0,4,a,26.287380462542
386,2000,40,0,4,c,45.315484311997
387,2000,40,0,4,d,24.857522947843
388,2000,40,0,4,h,24.0875996706975
389,2000,40,0,4,n,145.405510340923
390,2000,40,0,4,o,49.7150458956861
391,2000,40,0,4,t,170.263033288766
392,2000,40,0,4,v,0
393,2000,40,0,5,a,31.9247884455116
394,2000,40,0,5,c,48.3255396802099
395,2000,40,0,5,d,38.4115866525399
396,2000,40,0,5,h,38.9163613935647
