"year","race","sex","age","edclass","non_inst","inst","inst_rate","tpop"
2003,1,1,"65-69",3,717,5.6665,0.00784109959434954,722.6665
2003,1,1,"65-69",4,937,4.961,0.00526667239938809,941.961
2003,1,2,"25-29",1,256,5.0615,0.0193881518339548,261.0615
2003,1,2,"25-29",2,1471,6.388,0.00432384722225983,1477.388
2003,1,2,"25-29",3,1801,6.1665,0.0034122478476665,1807.1665
2003,1,2,"25-29",4,2077,1.58,0.000760134322470148,2078.58
2003,1,2,"30-34",1,276.333333333333,5.9025,0.020913361461898,282.235833333333
2003,1,2,"30-34",2,1762.66666666667,7.3595,0.0041578481372733,1770.02616666667
2003,1,2,"30-34",3,1881,4.524,0.00239933302360511,1885.524
2003,1,2,"30-34",4,2549,1.8075,0.000708599139684198,2550.8075
2003,1,2,"35-39",1,327.333333333333,5.728,0.0171980335954139,333.061333333333
2003,1,2,"35-39",2,2208.66666666667,8.9265,0.00402531002267549,2217.59316666667
2003,1,2,"35-39",3,2138,5.919,0.00276083191575801,2143.919
2003,1,2,"35-39",4,2429,1.782,0.000733097414741429,2430.782
2003,1,2,"40-44",1,397.333333333333,5.905,0.0146439450614401,403.238333333333
2003,1,2,"40-44",2,2567.66666666667,8.172,0.00317255894390901,2575.83866666667
2003,1,2,"40-44",3,2497,5.4195,0.00216570403163818,2502.4195
2003,1,2,"40-44",4,2607,1.1775,0.00045146467217051,2608.1775
2003,1,2,"45-49",1,314,5.438,0.0170236477814161,319.438
2003,1,2,"45-49",2,2624,7.6345,0.0029010487588607,2631.6345
2003,1,2,"45-49",3,2450,3.8615,0.00157364219618752,2453.8615
2003,1,2,"45-49",4,2533,2,0.000788954635108481,2535
2003,1,2,"50-54",1,363.666666666667,5.4975,0.0148917487025872,369.164166666667
2003,1,2,"50-54",2,2394.33333333333,6.6015,0.00274955401052465,2400.93483333333
2003,1,2,"50-54",3,2121,3.429,0.00161408077182151,2124.429
2003,1,2,"50-54",4,2277,2.282,0.00100119248079,2279.282
2003,1,2,"55-59",1,416,6.3165,0.0149567918847594,422.3165
2003,1,2,"55-59",2,2362,9.112,0.00384292264557726,2371.112
2003,1,2,"55-59",3,1720,4.422,0.00256433749975354,1724.422
2003,1,2,"55-59",4,1650,2.4235,0.00146663370497938,1652.4235
2003,1,2,"60-64",1,491.666666666667,8.116,0.0162390585774617,499.782666666667
2003,1,2,"60-64",2,2069.33333333333,11.298,0.0054300825999288,2080.63133333333
2003,1,2,"60-64",3,1259,4.5505,0.00360135981901792,1263.5505
2003,1,2,"60-64",4,1001,3.011,0.00299897112681036,1004.011
2003,1,2,"65-69",1,663,13.7985,0.0203878997958772,676.7985
2003,1,2,"65-69",2,1901,14.171,0.00739933927570958,1915.171
2003,1,2,"65-69",3,811,5.433,0.00665455707939292,816.433
2003,1,2,"65-69",4,622,4.0065,0.00640009328976616,626.0065
2004,1,1,"25-29",1,367,33.9213333333333,0.0846084518658689,400.921333333333
2004,1,1,"25-29",2,1857,54.772,0.0286498599205345,1911.772
2004,1,1,"25-29",3,1666,23.6513333333333,0.0139977596955901,1689.65133333333
2004,1,1,"25-29",4,1784,5.98133333333333,0.00334156184868967,1789.98133333333
2004,1,1,"30-34",1,344.666666666667,28.0453333333333,0.075246660513569,372.712
2004,1,1,"30-34",2,1920.33333333333,49.0566666666667,0.0249095743690517,1969.39
2004,1,1,"30-34",3,1782,21.7993333333333,0.012085231949304,1803.79933333333
2004,1,1,"30-34",4,2194,4.33966666666667,0.00197406557888613,2198.33966666667
2004,1,1,"35-39",1,394,29.984,0.0707196497981056,423.984
2004,1,1,"35-39",2,2312,52.7786666666667,0.0223186496946296,2364.77866666667
2004,1,1,"35-39",3,1775,24.3766666666667,0.0135472839668552,1799.37666666667
2004,1,1,"35-39",4,2318,5.61066666666667,0.00241463285874627,2323.61066666667
2004,1,1,"40-44",1,545.333333333333,28.2176666666667,0.0491981823179921,573.551
2004,1,1,"40-44",2,2711.66666666667,48.243,0.0174799199345776,2759.90966666667
2004,1,1,"40-44",3,2052,22.9346666666667,0.0110531994260382,2074.93466666667
2004,1,1,"40-44",4,2573,5.49966666666667,0.00213289407703369,2578.49966666667
2004,1,1,"45-49",1,450,19.06,0.0406344604101821,469.06
2004,1,1,"45-49",2,2642,36.5096666666667,0.0136305898466672,2678.50966666667
2004,1,1,"45-49",3,2116,17.7943333333333,0.00833929168118827,2133.79433333333
2004,1,1,"45-49",4,2637,5.07733333333333,0.00192172018179634,2642.07733333333
2004,1,1,"50-54",1,360.666666666667,13.509,0.0361033632153169,374.175666666667
2004,1,1,"50-54",2,2096.33333333333,21.5423333333333,0.0101716704490207,2117.87566666667
2004,1,1,"50-54",3,2052,13.249,0.00641520707672537,2065.249
2004,1,1,"50-54",4,2610,5.02933333333333,0.00192324165133648,2615.02933333333
