year,race,sex,age,edclass,non_inst,inst,inst_rate
2001,3,2,35-39,3,306000,636.5,0.002075747668656536
2001,3,2,35-39,4,176000,219.33333333333334,0.0012446610095751885
2001,3,2,40-44,1,425666.66666666704,1541.1666666666667,0.0036075337257782773
2001,3,2,40-44,2,374333.33333333296,876.3333333333334,0.0023355830384611653
2001,3,2,40-44,3,238000,673.5,0.0028218465812082194
2001,3,2,40-44,4,155000,NA,NA
2001,3,2,45-49,1,354333.33333333296,1025.3333333333333,0.0028853477613228354
2001,3,2,45-49,2,265666.66666666704,668.6666666666666,0.0025106194446599863
2001,3,2,45-49,3,206000,426,0.002063693526978191
2001,3,2,45-49,4,98000,149.16666666666666,0.0015197955492914695
2001,3,2,50-54,1,282333.33333333296,652.3333333333334,0.0023051815345182416
2001,3,2,50-54,2,234666.666666667,589.6666666666666,0.002506485833183375
2001,3,2,50-54,3,127000,312.5,0.002454590083456063
2001,3,2,50-54,4,89000,NA,NA
2001,3,2,55-59,1,272000,737.8333333333334,0.0027052841342754676
2001,3,2,55-59,2,136000,444.5,0.0032577348299125284
2001,3,2,55-59,3,61000,NA,NA
2001,3,2,55-59,4,49000,100.83333333333333,0.0020535971894570693
2001,3,2,60-64,1,224333.333333333,929.8333333333334,0.004127764636769296
2001,3,2,60-64,2,106666.66666666699,530.8333333333334,0.0049519189657718865
2001,3,2,60-64,3,40000,166,0.004132848677986357
2001,3,2,60-64,4,32000,NA,NA
2001,3,2,65-69,1,216000,1158.6666666666667,0.005335576444872874
2001,3,2,65-69,2,100000,731.3333333333334,0.007260236801524849
2001,3,2,65-69,3,34000,206.66666666666666,0.006041707269538102
2001,3,2,65-69,4,16000,142.33333333333334,0.00881739525471328
2002,1,1,25-29,1,366000,33325.666666666664,0.08345485764751744
2002,1,1,25-29,2,1762000,54781,0.030152781210283464
2002,1,1,25-29,3,1645000,31051.666666666668,0.018526676285834466
2002,1,1,25-29,4,1821000,10653.666666666668,0.005816419807165147
2002,1,1,30-34,1,407333.33333333296,31306.666666666668,0.0713721198857074
2002,1,1,30-34,2,2022666.66666667,51018.333333333336,0.024602740210462656
2002,1,1,30-34,3,1837000,25114.666666666668,0.013487175154269053
