"year","race","sex","age","educ","tpop_2"
2003,1,2,"70-74",4,569
2004,1,1,"25-29",0,14
2004,1,1,"25-29",1,432
2004,1,1,"25-29",2,1778
2004,1,1,"25-29",3,1666
2004,1,1,"25-29",4,1784
2004,1,1,"30-34",0,17
2004,1,1,"30-34",1,383
2004,1,1,"30-34",2,1865
2004,1,1,"30-34",3,1782
2004,1,1,"30-34",4,2194
2004,1,1,"35-39",0,5
2004,1,1,"35-39",1,463
2004,1,1,"35-39",2,2238
2004,1,1,"35-39",3,1775
2004,1,1,"35-39",4,2318
2004,1,1,"40-44",0,8
2004,1,1,"40-44",1,632
2004,1,1,"40-44",2,2617
2004,1,1,"40-44",3,2052
2004,1,1,"40-44",4,2573
2004,1,1,"45-49",0,22
2004,1,1,"45-49",1,491
2004,1,1,"45-49",2,2579
2004,1,1,"45-49",3,2116
2004,1,1,"45-49",4,2637
2004,1,1,"50-54",0,8
2004,1,1,"50-54",1,396
2004,1,1,"50-54",2,2053
2004,1,1,"50-54",3,2052
2004,1,1,"50-54",4,2610
2004,1,1,"55-59",0,16
2004,1,1,"55-59",1,473
2004,1,1,"55-59",2,1709
2004,1,1,"55-59",3,1617
2004,1,1,"55-59",4,2345
2004,1,1,"60-64",0,6
2004,1,1,"60-64",1,554
2004,1,1,"60-64",2,1490
2004,1,1,"60-64",3,999
2004,1,1,"60-64",4,1436
2004,1,1,"65-69",0,6
2004,1,1,"65-69",1,576
2004,1,1,"65-69",2,1259
2004,1,1,"65-69",3,759
2004,1,1,"65-69",4,1053
2004,1,1,"70-74",0,2
2004,1,1,"70-74",1,614
2004,1,1,"70-74",2,977
2004,1,1,"70-74",3,605
2004,1,1,"70-74",4,904
2004,1,2,"25-29",0,6
2004,1,2,"25-29",1,310
2004,1,2,"25-29",2,1477
2004,1,2,"25-29",3,1770
2004,1,2,"25-29",4,2137
2004,1,2,"30-34",0,1
2004,1,2,"30-34",1,304
2004,1,2,"30-34",2,1584
2004,1,2,"30-34",3,1938
2004,1,2,"30-34",4,2461
2004,1,2,"35-39",0,7
2004,1,2,"35-39",1,338
2004,1,2,"35-39",2,2017
2004,1,2,"35-39",3,2055
2004,1,2,"35-39",4,2429
2004,1,2,"40-44",0,7
2004,1,2,"40-44",1,464
2004,1,2,"40-44",2,2490
2004,1,2,"40-44",3,2531
2004,1,2,"40-44",4,2538
2004,1,2,"45-49",0,5
2004,1,2,"45-49",1,424
2004,1,2,"45-49",2,2572
2004,1,2,"45-49",3,2487
2004,1,2,"45-49",4,2508
2004,1,2,"50-54",0,6
2004,1,2,"50-54",1,386
2004,1,2,"50-54",2,2297
2004,1,2,"50-54",3,2141
2004,1,2,"50-54",4,2430
2004,1,2,"55-59",0,8
2004,1,2,"55-59",1,491
2004,1,2,"55-59",2,2251
2004,1,2,"55-59",3,1799
2004,1,2,"55-59",4,1799
2004,1,2,"60-64",0,0
2004,1,2,"60-64",1,518
2004,1,2,"60-64",2,2042
2004,1,2,"60-64",3,1312
2004,1,2,"60-64",4,1181
2004,1,2,"65-69",0,3
2004,1,2,"65-69",1,652
2004,1,2,"65-69",2,1832
2004,1,2,"65-69",3,933
2004,1,2,"65-69",4,661
2004,1,2,"70-74",0,13
2004,1,2,"70-74",1,790
2004,1,2,"70-74",2,1591
2004,1,2,"70-74",3,724
2004,1,2,"70-74",4,565
2005,1,1,"25-29",0,13
2005,1,1,"25-29",1,462
2005,1,1,"25-29",2,1850
2005,1,1,"25-29",3,1695
2005,1,1,"25-29",4,1784
2005,1,1,"30-34",0,5
2005,1,1,"30-34",1,392
2005,1,1,"30-34",2,1837
2005,1,1,"30-34",3,1683
2005,1,1,"30-34",4,2082
2005,1,1,"35-39",0,12
2005,1,1,"35-39",1,450
2005,1,1,"35-39",2,2236
2005,1,1,"35-39",3,1721
2005,1,1,"35-39",4,2223
2005,1,1,"40-44",0,5
2005,1,1,"40-44",1,575
2005,1,1,"40-44",2,2677
2005,1,1,"40-44",3,1998
2005,1,1,"40-44",4,2479
2005,1,1,"45-49",0,13
2005,1,1,"45-49",1,572
2005,1,1,"45-49",2,2728
2005,1,1,"45-49",3,2111
2005,1,1,"45-49",4,2521
2005,1,1,"50-54",0,11
2005,1,1,"50-54",1,423
2005,1,1,"50-54",2,2199
2005,1,1,"50-54",3,1987
2005,1,1,"50-54",4,2625
2005,1,1,"55-59",0,17
2005,1,1,"55-59",1,497
2005,1,1,"55-59",2,1751
2005,1,1,"55-59",3,1652
2005,1,1,"55-59",4,2291
2005,1,1,"60-64",0,3
2005,1,1,"60-64",1,548
2005,1,1,"60-64",2,1517
2005,1,1,"60-64",3,1069
2005,1,1,"60-64",4,1646
2005,1,1,"65-69",0,6
2005,1,1,"65-69",1,595
2005,1,1,"65-69",2,1327
2005,1,1,"65-69",3,807
2005,1,1,"65-69",4,1054
2005,1,1,"70-74",0,2
2005,1,1,"70-74",1,520
2005,1,1,"70-74",2,997
2005,1,1,"70-74",3,613
2005,1,1,"70-74",4,841
2005,1,2,"25-29",0,5
2005,1,2,"25-29",1,355
2005,1,2,"25-29",2,1437
2005,1,2,"25-29",3,1796
2005,1,2,"25-29",4,2223
2005,1,2,"30-34",0,9
2005,1,2,"30-34",1,286
2005,1,2,"30-34",2,1501
2005,1,2,"30-34",3,1819
2005,1,2,"30-34",4,2444
